Time,Velocity
0,0
0.001,9.78449056624832e-10
0.002,5.49548298767599e-07
0.003,2.24392141233637e-05
0.004,0.000298601581108102
0.005,0.00210920532659253
0.006,0.0099142713853939
0.007,0.0350802916913015
0.008,0.100621583508262
0.009,0.24526441898229
0.01,0.524364784460644
0.011,1.00567913389382
0.012,1.75942088002694
0.013,2.84383593788404
0.014,4.28967819068048
0.015,6.08783931867606
0.016,8.18418114468185
0.017,10.4825337308013
0.018,12.8569620783495
0.019,15.1690730901413
0.02,17.2877300196532
0.021,19.1068767358165
0.022,20.5582678750853
0.023,21.6180491417877
0.024,22.3072880420032
0.025,22.6873322913587
0.026,22.8513580790498
0.027,22.9144035603486
0.028,23.0012056907108
0.029,23.2335911495702
0.03,23.7177558916553
0.031,24.5328431637399
0.032,25.722513376494
0.033,27.2904879456534
0.034,29.2007813917424
0.035,31.3838549155017
0.036,33.7454878357015
0.037,36.1782733240407
0.038,38.5733567459802
0.039,40.8305593912775
0.04,42.8662431478333
0.041,44.6184833541854
0.042,46.0500184622777
0.043,47.1489201066421
0.044,47.9282031164043
0.045,48.423886232574
0.046,48.6918276122333
0.047,48.8036738736814
0.048,48.84085191346
0.049,48.8882875747909
0.05,49.0275830243376
0.051,49.3305256640472
0.052,49.8540482363133
0.053,50.6362154276702
0.054,51.6940167882037
0.055,53.0226709335384
0.056,54.596477255464
0.057,56.3706503330054
0.058,58.2848214284504
0.059,60.2672230410337
0.06,62.2402275282237
0.061,64.1266211855832
0.062,65.8561087627932
0.063,67.371458720408
0.064,68.6337990110911
0.065,69.6258844750088
0.066,70.3535787790705
0.067,70.8456350501641
0.068,71.1507791005593
0.069,71.333511350312
0.07,71.4687809870297
0.071,71.6356587364197
0.072,71.9108176397347
0.073,72.3620733559235
0.074,73.0427089962626
0.075,73.9865751945894
0.076,75.2053618636832
0.077,76.6871536942175
0.078,78.3977801147911
0.079,80.2837491642236
0.08,82.2772238273569
0.081,84.3022354413882
0.082,86.2814825240964
0.083,88.1428041967206
0.084,89.8252980056963
0.085,91.2839586206856
0.086,92.4928156287075
0.087,93.4470501042676
0.088,94.1626367354658
0.089,94.6747816818712
0.09,95.0349001441479
0.091,95.3063004345377
0.092,95.5588853660048
0.093,95.8633786316249
0.094,96.2854052152065
0.095,96.8803215844095
0.096,97.6884129382805
0.097,98.7319548986241
0.098,100.013595312793
0.099,101.516278134817
0.1,103.205031033585
0.101,105.030124579652
0.102,106.931396201993
0.103,108.843358254983
0.104,110.70053269203
0.105,112.442845539055
0.106,114.020232565535
